coverage,avg_set_size,accuracy,dataset,model,seed,alpha,target_coverage,distribution_noise,label_noise,sample_size,coverage_gap,experiment
0.9722222222222222,0.9722222222222222,1.0,wine_binary,random_forest,4,0.1,0.9,0.0,0.0,full,0.07222222222222219,sample_size
0.9722222222222222,0.9722222222222222,1.0,wine_binary,random_forest,4,0.1,0.9,0.1,0.0,full,0.07222222222222219,distribution_shift
0.9722222222222222,0.9722222222222222,1.0,wine_binary,random_forest,4,0.1,0.9,0.2,0.0,full,0.07222222222222219,distribution_shift
0.8888888888888888,0.8888888888888888,1.0,wine_binary,random_forest,4,0.1,0.9,0.5,0.0,full,-0.011111111111111183,distribution_shift
0.7222222222222222,0.7222222222222222,0.8333333333333334,wine_binary,random_forest,4,0.1,0.9,1.0,0.0,full,-0.1777777777777778,distribution_shift
0.9722222222222222,0.9722222222222222,1.0,wine_binary,random_forest,4,0.1,0.9,0.0,0.0,full,0.07222222222222219,sample_size
0.9722222222222222,0.9722222222222222,1.0,wine_binary,random_forest,4,0.1,0.9,0.0,0.1,full,0.07222222222222219,label_noise
0.9722222222222222,0.9722222222222222,0.9722222222222222,wine_binary,random_forest,4,0.1,0.9,0.0,0.2,full,0.07222222222222219,label_noise
0.9166666666666666,0.9166666666666666,1.0,wine_binary,random_forest,4,0.1,0.9,0.0,0.3,full,0.016666666666666607,label_noise
0.9444444444444444,0.9444444444444444,1.0,wine_binary,random_forest,4,0.1,0.9,0.0,0.0,100,0.0444444444444444,sample_size
0.9722222222222222,0.9722222222222222,1.0,wine_binary,random_forest,4,0.1,0.9,0.0,0.0,500,0.07222222222222219,sample_size
0.9722222222222222,0.9722222222222222,1.0,wine_binary,random_forest,4,0.1,0.9,0.0,0.0,1000,0.07222222222222219,sample_size
0.9722222222222222,0.9722222222222222,1.0,wine_binary,random_forest,4,0.1,0.9,0.0,0.0,full,0.07222222222222219,sample_size
0.8888888888888888,0.9444444444444444,0.9444444444444444,wine_binary,gradient_boosting,0,0.1,0.9,0.0,0.0,full,-0.011111111111111183,sample_size
0.8611111111111112,0.9166666666666666,0.9166666666666666,wine_binary,gradient_boosting,0,0.1,0.9,0.1,0.0,full,-0.03888888888888886,distribution_shift
0.8611111111111112,0.9444444444444444,0.8888888888888888,wine_binary,gradient_boosting,0,0.1,0.9,0.2,0.0,full,-0.03888888888888886,distribution_shift
0.75,0.8333333333333334,0.8888888888888888,wine_binary,gradient_boosting,0,0.1,0.9,0.5,0.0,full,-0.15000000000000002,distribution_shift
0.6388888888888888,0.75,0.8055555555555556,wine_binary,gradient_boosting,0,0.1,0.9,1.0,0.0,full,-0.2611111111111112,distribution_shift
0.8888888888888888,0.9444444444444444,0.9444444444444444,wine_binary,gradient_boosting,0,0.1,0.9,0.0,0.0,full,-0.011111111111111183,sample_size
0.8888888888888888,0.9444444444444444,0.9444444444444444,wine_binary,gradient_boosting,0,0.1,0.9,0.0,0.1,full,-0.011111111111111183,label_noise
0.8055555555555556,0.9166666666666666,0.8055555555555556,wine_binary,gradient_boosting,0,0.1,0.9,0.0,0.2,full,-0.09444444444444444,label_noise
0.8611111111111112,1.1666666666666667,0.7777777777777778,wine_binary,gradient_boosting,0,0.1,0.9,0.0,0.3,full,-0.03888888888888886,label_noise
0.9166666666666666,1.0,0.9166666666666666,wine_binary,gradient_boosting,0,0.1,0.9,0.0,0.0,100,0.016666666666666607,sample_size
0.8888888888888888,0.9444444444444444,0.9444444444444444,wine_binary,gradient_boosting,0,0.1,0.9,0.0,0.0,500,-0.011111111111111183,sample_size
